isbn	title	author	publisher	year_published	dewey_decimal	lcc_number	subjects
9780553560725	A brilliant madness	Duke, Patty|Hochman, Gloria	Bantam Books	1993		D877	duke_patty_1946_mental_health_aaaa0|manic_depressive_illness_popular_works|manic_depressive_illness|actresses_united_states_biography|bipolar_disorder_popular_works
9780060809461	The Fires of Fu Manchu	Cay Van Ash	Harpercollins	1988	823.914		
9781551666488	Deadly Intent	Heggan, Christiane	Mira	2003			
9780395078655	A field guide to the butterflies	Klots, Alexander Barrett	Houghton Mifflin	1973			butterflies_north_america_identification
9780425089514	The tunnels of Cu Chi	Mangold, Tom|Penycate, John	Berkley Books	1997	959.70434	DS559.8	vietnamese_conflict_1961_1975_tunnel_warfare|vietnamese_conflict_1961_1975_vietnam_cu_chi_quan|cu_chi_vietnam_quan_history
9780425180006	Nursery Crimes	Waldman, Ayelet	Berkley Publishing Group	2001			amazon_com_mystery_thrillers_mystery_general|amazon_com_mystery_thrillers_mystery_series|amazon_com_mystery_thrillers_mystery_women_sleuths|amazon_com_mystery_thrillers_general
9780758203007	Circle of five	Riccio, Dolores	Kensington Books	2003	813.6	PS3618	female_friendship_fiction|witches_fiction|kidnapping_fiction|missing_children_fiction
9780786015504	Perfect Poison	M. William Phelps	Pinnacle Books	2003			
9780307085740	Day on Sesame Street	Golden Books	Golden Books	1994			
9780553492156	Elizabeth's Secret Diary, Volume III	Pascal, Francine	Sweet Valley	1997			
9780743407076	Grand Avenue	Fielding, Joy	Pocket Books	2001		PR9199.3	women_ohio_cincinnati_fiction|female_friendship_fiction|cincinnati_ohio_fiction|domestic_fiction|ohio_fiction
9780373071494	Quest of the Eagle	Seger, Maura	Silhouette	1986			
9780684848150	Underworld	DeLillo, Don	Scribner Paperback Fiction	1998		PS3554	amazon_com_literature_fiction_general_contemporary|amazon_com_literature_fiction_general_literary|amazon_com_literature_fiction_authors_a_z_d_delillo_don|united_states_social_life_and_customs_1945_1970_fiction|united_states_social_life_and_customs_1971_fiction
9780201632958	Mama makes up her mind	White, Bailey	Addison-Wesley	1993	814.54	PN6162	georgia_social_life_and_customs_humor|southern_states_social_life_and_customs_1865_humor_aaaa0
9780452281943	Tomato Red	Woodrell, Daniel	Plume Books	2000			amazon_com_literature_fiction_general_contemporary
9780415165235	American civilization	Mauk, David|Oakland, John S.	Routledge	1998	973.0	E169.1	united_states_civilization|united_states_civilization_study_and_teaching_foreign_countr
9781555745899	A Second-Hand Christmas	Brian Cochran|Asman, Mark F.	CBN Publishing	1991			
9780373167197	Princess In Denim	McKnight, Jenna	Harlequin	1998	813.0		literature_fiction|romance_contemporary
9780330307246	Wallis: Secret Lives of the Duchess of Windsor	Higham, Charles	Trans-Atlantic Publications	1989			
9780395368954	A porcupine named Fluffy	Lester, Helen|Munsinger, Lynn	Houghton Mifflin	1986		PZ7	names_personal_fiction|porcupines_fiction|rhinoceroses_fiction
9783505072925	Highway-Melodie: Mit dem Motorrad 20 000 km quer durch die USA	Oluf Zierl	F. Schneider	1981			
9782070715237	La Disparition	Georges Perec	Gallimard]	1990			
9782266128780	N comme nausee	Grafton	Pocket	2002			
9780440102946	The American short story	Calvin Skaggs	Dell	1977			short_stories_american
9780373109890	Velvet Promise	Mortimer, Carole	Harlequin	1987			
9780812540017	Dead Simple	Land, Jon	Forge	1999	813.54		
9780425177372	At Last	Bretton, Barbara	Berkley Publishing Group	2000			amazon_com_romance_authors_a_z_b_bretton_barbara|amazon_com_romance_general|amazon_com_romance_contemporary_general
9780416522600	Sarah's Nest Pb	Gilbert, Harry	Methuen Publishing Ltd	1985			
9780870697340	Warman's Antiques and Collectibles Price Guide 1995	Rinker, Harry L.	Warman Pub Co	1995	745.1075		
9780851709611	Luchino Visconti	Nowell-Smith, Geoffrey	British Film Institute	2003		PN1998	amazon_com_biographies_memoirs_arts_literature_entertainers|amazon_com_nonfiction_current_events_mass_media_media_studie|visconti_luchino_film|visconti_luchino_1906_1976_aaaa0|motion_picture_producers_and_directors_italy_biography|visconti_luchino_1906_1976
9781593150006	Pessimisms	Marcus, Eric	CDS Books	2003	817.0		
9780807841921	Wild Flowers of North Carolina	Justice, William G.	University of North Carolina Press	1987			amazon_com_science_biological_sciences_plants_flowers|amazon_com_outdoors_nature_field_guides_flowers
9780671318468	Sentry Peak	Turtledove, Harry	Baen	2001			
9780764313769	Complete Cookie Jar Book 3ED	Mike Schneider	Schiffer Publishing, Ltd	0			
9780373441150	Call of the wild	Lisa Bingham	Harlequin Books	2001			
9780345350589	The source of magic	Anthony, Piers	Ballantine Books	1990			amazon_com_science_fiction_fantasy_fantasy_general|amazon_com_science_fiction_fantasy_fantasy_magic_wizards|amazon_com_science_fiction_fantasy_authors_a_z_a_anthony_pie|amazon_com_science_fiction_fantasy_authors_a_z_a_antho_aaaa0|amazon_com_science_fiction_fantasy_fantasy_series_general|fantasy_fiction_aaaa0|xanth_imaginary_place_fiction
9780517223659	Anatomy, descriptive and surgical	Gray, Henry David|Pick, T. Pickering|Howden, Robert	Bounty Books	1991	611.0	QM23	human_anatomy|anatomy
9780425042106	The Visitor	Cunningham, Jere	Berkley	1979			
9780002219983	Contract	Seymour, Gerald	Wm Collins & Sons & Co	1980			
9780671728137	The joys of Yiddish	Rosten, Leo Calvin	Pocket Books	1991			yiddish_language_glossaries_vocabularies_etc|jewish_wit_and_humor|english_language_foreign_words_and_phrases_yiddish
9780505523723	Dark Prince	Feehan, Christine	Love Spell	1999			amazon_com_romance_fantasy_futuristic_ghost|amazon_com_romance_contemporary_general
9782221082621	Le desir du cannibale: Roman	Tapie, Jean-Paul	R. Laffont	1996			
9780849910579	A dance with deception	Colson, Charles W.|Pearcey, Nancy	Word Pub	1993	277.30829	BT738	sociology_christian|church_and_social_problems_united_states|christian_ethics|united_states_moral_conditions
9783426701966	Das Schwert von Avalon.	Bradley, Marion Zimmer|Paxson, Diana L.|Gabaldon, Diana|Gilliam, Richard|Greenberg, Martin Harry|Kramer, Edward E.	Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH & Co	2000			
9780451208675	No one left behind	Yarsinske, Amy Waters	New American Library	2003		DS79.744	speicher_michael_scott|persian_gulf_war_1991_aerial_operations_american|fighter_pilots_united_states_biography
9780688115524	Staying fat for Sarah Byrnes	Crutcher, Chris	Greenwillow Books	1993		PZ7	
9789729278273	Angola, paz so com Muxima	Abel Matias	Colegio de Lamego	1993			
9782070382880	Un Homme Qui Dort	Georges Perec	Editions Flammarion	1990	848.0		
9780446516044	The dirty half dozen	William Nagler|Anne Androff	Warner Books	1991			interpersonal_relations|interpersonal_communication
9780373036639	The Provocative Proposal	Leclaire, Day	Harlequin	2001			
9780836236545	I need help, too!	Lee, Vic	Andrews and McMeel	1997	741.5973	PN6727	
9780425068045	They came to Baghdad	Christie, Agatha	Berkeley Pub. Group	1994			
9780385297073	The naked heart	Briskin, Jacqueline	Delacorte Press	1989			world_war_1939_1945_france_fiction|revenge_fiction|betrayal_fiction|man_woman_relationships_fiction|historical_fiction
9788447301263	No Digas Que Fue Un Sue�o	Terenci Moix	RBA Editores	1998			
9780892965199	Fallen into the pit	Peters, Ellis	Mysterious Press/Warner Books	1994	823.912	PR6031	felse_george_fictitious_character_fiction|police_england_fiction|england_fiction|mystery_fiction
9780299196806	A passion to preserve	Fellows, Will	University of Wisconsin Press	2004	306.76620922	HQ75.7	gay_men_united_states_biography|cultural_property_protection_united_states
9780670862931	Love of fat men	Dunmore, Helen	Viking	1997	821.914		
9780307119735	Just a daydream	Mayer, Mercer	Golden Book	1990		PZ7	bullies_fiction|fantasy_juvenile_literature|picture_books_for_children
9780060196974	Art lover	Gill, Anton	HarperCollins	2002	709.2	N5220	guggenheim_peggy_1898|art_collectors_united_states_biography|art_collectors_europe_biography
9780684864228	Between silk and cyanide	Marks, Leo	Free Press	1999		D810	marks_leo|world_war_1939_1945_cryptography|world_war_1939_1945_secret_service_great_britain|world_war_1939_1945_personal_narratives_british|cryptographers_great_britain_biography
9780425103531	The Mysterious Mr. Quin	Christie, Agatha	Berkley	1994			
9780312851910	Psychosphere	Lumley, Brian	Tor Books	2001			
9781879181304	The Pleiadian Agenda	Clow, Barbara Hand	Bear & Company	1995			amazon_com_religion_spirituality_new_age_general|amazon_com_religion_spirituality_religious_studies_controver|amazon_com_religion_spirituality_occult_spiritualism|amazon_com_religion_spirituality_occult_unexplained_mysterie
9780671042974	Belle Terre	Smith, Dean|Carey, Diane	Pocket Books	2000			amazon_com_science_fiction_fantasy_authors_a_z_c_carey_diane|amazon_com_science_fiction_fantasy_authors_a_z_s_smith_dean_|amazon_com_science_fiction_fantasy_science_fiction_adventure|amazon_com_science_fiction_fantasy_science_fiction_general|amazon_com_science_fiction_fantasy_media_star_trek_general|science_fiction|radio_and_television_novels
9780385083744	Toulouse-Lautrec	Huisman, Philippe|Dortu, M. G.	Doubleday	1973		ND553	toulouse_lautrec_henri_de_1864_1901
9780064431033	This is the bear	Hayes, Sarah|Craig, Helen	Harper & Row	1986		PZ8.3	toys_fiction
9781857990089	The Night	Stamp, Terence	Phoenix House	1993			literature_fiction
9780891074090	Letters of Francis A. Schaeffer	Schaeffer, Francis A.|Dennis, Lane T.	Crossway Books	1986	291.0		
9780349108155	Getting rid of Mister Kitchen	Higson, Charles	Abacus	2001			
9780451526571	Heart of darkness	Conrad, Joseph	Signet Classic	1997			amazon_com_literature_fiction_world_literature_british_aaaa7|amazon_com_literature_fiction_general_classics|amazon_com_literature_fiction_authors_a_z_c_conrad_joseph|europeans_africa_fiction|suffering_fiction|criminals_fiction|ships_employees_fiction|sea_stories|congo_democratic_republic_fiction
9780449204177	Mrs. Pollifax on the China station	Gilman, Dorothy	Fawcett Crest	1984			pollifax_emily_fictitious_character_fiction|intelligence_service_united_states_fiction|women_spies_united_states_fiction
9780849954139	Thank you	Boltz, Ray	J. Countryman	1998	241.4		gratitude_religious_aspects_christianity|gratitude|christian_life
9780373613595	The Mercenary	Leigh, Allison	Silhouette	2003			amazon_com_romance_general|amazon_com_romance_contemporary_general
9780393008326	The small room	Sarton, May	Norton	1976	813.52	PZ3	amazon_com_literature_fiction_general_contemporary|amazon_com_literature_fiction_authors_a_z_s_sarton_may
9780060525194	A Wanted Man	Law, Susan Kay	Avon	2004			amazon_com_romance_authors_a_z_l_lawkay_susan|amazon_com_romance_general|amazon_com_romance_contemporary_general|amazon_com_romance_historical_general
9780373791484	His hot number	Shannon Hollis	Harlequin	2004			amazon_com_romance_general|amazon_com_romance_contemporary_general|love_stories
9780805028188	"""C"" is for corpse"	Grafton, Sue	H. Holt	1986			detective_and_mystery_stories
9780312194062	The marrow of tradition	Chesnutt, Charles Waddell|Bentley, Nancy|Gunning, Sandra	Bedford/St. Martin's	2002		PS1292	racially_mixed_people_fiction|wilmington_n_c_fiction|african_americans_fiction|race_relations_fiction|riots_fiction
9781551665511	All Fall Down	Erica Spindler	Mira	2000	813.54		
9780907040712	The firewalkers	King, Francis	GMP	1985			fiction_in_english_1945_texts
9780151970872	Wind, sand, and stars	Saint-Exupery, Antoine de	Harcourt Brace Jovanovich	1992	848.91209	PQ2637	amazon_com_biographies_memoirs_arts_literature_authors|amazon_com_biographies_memoirs_general|amazon_com_literature_fiction_world_literature_french|amazon_com_literature_fiction_authors_a_z_s_saint_exupery_an|amazon_com_biographies_memoirs_specific_groups_adventurers_e|amazon_com_nonfiction_transportation_aviation_piloting_fligh|saint_exupery_antoine_de_1900_1944|authors_french_20th_century_biography|air_pilots_france_biography
9780440224228	Dream lover	Henley, Virginia	Delacorte Press	1997			
9780446314862	To Kill a Mockingbird	Lee, Harper	Not Avail	1982			
9780743203920	Great presidential wit	Dole, Robert J.	Scribner	2001		E176.1	presidents_united_states_biography_anecdotes|presidents_united_states_humor
9780961815219	100 hikes in the Central Oregon Cascades	Sullivan, William	Navillus Press	1991			hiking_oregon_guidebooks|hiking_cascade_range_guidebooks|oregon_guidebooks|cascade_range_guidebooks
9780006377214	A sparrow's flight	Hailsham of St Marylebone, Quintin Hogg	Collins	1991			hailsham_of_st_marylebone_quintin_hogg_baron_1907_aaaa0
9780373625406	Nightmare Passage	James Axler	Gold Eagle	1997			
9780449139424	Loneliness is Rotting on a Book Rack	Hart, Johnny	Ballantine Books	1981			
9788472235717	Sin Plumas	Allen, Woody	Tusquets	2002	370.0		
9780440217701	The Five Minute Lawyer's Guide to Bad Debts	Michael Cane	Dell	1995			
9780595199426	In His Corner	Joan Lewis	Writers Club Press	2001	813.0		
9780872398511	Three Hundred Sixty-Five Devotions	Leah A. Crussell	Standard Publishing Company	1985			
9780553380989	Once Removed	Yoshikawa, Mako	Bantam	2004	813.0		
9780895862754	Complete guide to prescription & non-prescription drugs	Griffith, H. Winter	HP Books	1983	615.1		drugs_popular_works|drugs_nonprescription_popular_works
9780140075632	The black seraphim	Gilbert, Michael Francis	Penguin Books	1985	823.914	PR6013	detective_and_mystery_stories
9780449223147	Best Defense	Wilhelm, Kate	Fawcett	1995			amazon_com_mystery_thrillers_authors_a_z_w_wilhelm_kate
9780312971205	The House That Ate the Hamptons	Brady, James E.	St. Martin's Press	2000			amazon_com_literature_fiction_general_contemporary
9780425116739	Lightning Int	Koontz, Dean R.	Berkley	1988			
9780826322524	El puente	Romo, Ito	University of New Mexico Press	2000	813.6	PS3568	mexican_american_women_fiction|mexican_american_border_region_fiction_aaaa0|rio_grande_fiction|bridges_fiction|domestic_fiction
9780893758271	Demon Cat and Other Strange Tales	Aaron Percifull	Troll Communications Llc	1983			
9780758206244	Burning Bridges	Soos, Troy	Kensington Publishing Corporation	2004			amazon_com_mystery_thrillers_mystery_general|amazon_com_mystery_thrillers_authors_a_z_s_soos_troy|amazon_com_mystery_thrillers_general
9780451212856	Early eight	Fawkes, L. T.	SignetBooks	2004			mystery_fiction
9780399152191	Trace	Cornwell, Patricia Daniels	G.P. Putnam's Sons	2004	813.54	PS3553	amazon_com_mystery_thrillers_mystery_series|amazon_com_mystery_thrillers_mystery_women_sleuths|amazon_com_mystery_thrillers_authors_a_z_c_cornwell_patricia|amazon_com_mystery_thrillers_authors_a_z_c_cornwell_pa_aaaa0|amazon_com_mystery_thrillers_general|scarpetta_kay_fictitious_character_fiction|teenage_girls_crimes_against_fiction|forensic_pathologists_fiction|women_physicians_fiction|virginia_fiction|mystery_fiction
9781892343253	Number, Please	Sheree Petree	Oak Tree Publishing (IL)	2002			amazon_com_mystery_thrillers_mystery_general|amazon_com_mystery_thrillers_mystery_women_sleuths|amazon_com_mystery_thrillers_general
9780451410276	Final justice	Kopp, Nancy	Onyx	2002			women_lawyers_illinois_chicago_fiction|legal_stories|women_lawyers_fiction|chicago_ill_fiction
9783499503665	Ingmar Bergman: Mit Selbstzeugnissen und Bilddokumenten	Eckhard Weise	Rowohlt	1987			
9780783503257	Kids cooking	Time-Life Books|Williams, Chuck|Chris Shorten|Susan Manlin Katzman	Time-Life Books	1998	641.5123	TX652.5	amazon_com_childrens_books_sports_activities_cooking|amazon_com_cooking_food_wine_baking_desserts|amazon_com_cooking_food_wine_general|cookery_juvenile_literature|cookery
9780020420101	Martin Luther King, Jr	Dharathula H. Millender|Fiorentino, Al	Aladdin Books	1986	323.40924	E185.97	king_martin_luther_jr_1929_1968_childhood_and_youth_juvenile|king_martin_luther_jr_1929_1968_childhood_and_youth|african_americans_biography_juvenile_literature|baptists_united_states_clergy_biography_juvenile_literature|african_americans_civil_rights_juvenile_literature|clergy|civil_rights_workers|african_americans_biography
9780821748916	Lady Of The Forest	Roberson, Jennifer	Z Trade Paper	1999	813.54		
9780060237622	The borning room	Fleischman, Paul	HarperCollins	1991		PZ7	frontier_and_pioneer_life_fiction|ohio_fiction
9780061042546	The Kennedy contract	Davis, John F.	HarperPaperbacks	1993	364.1524092	E842.9	kennedy_john_f_john_fitzgerald_1917_1963_assassination_archi|mafia_united_states
9783442309986	Ich bin gekommen.	Sarah	Goldmann	2002			
9780671003111	SHINY WATER	Salter, Anna C.	Pocket Star	1998			amazon_com_mystery_thrillers_mystery_general|amazon_com_mystery_thrillers_general
9782868698407	La surproductivit�: R�cit	Kim, Sung Bok	Actes Sud	1993			
9780765194251	The Barn	Laura Brooks	Smithmark Publishers	1997	728.9220973		
9780590528375	Jesse	Soto, Gary	Scholastic	1996			amazon_com_childrens_books_authors_illustrators_a_z_s_soto_g|mexican_americans_fiction|college_stories
9783442441099	Die Kanzlei.	Lashner, William	Goldmann	1998			
9780671578800	Balshazzar's serpent	Chalker, Jack L.|Eggleton, Bob	Baen	2000	813.54	PS3553	life_on_other_planets_fiction|science_fiction
9780070066168	Casebook in abnormal psychology	Vitkus, John	McGraw-Hill	1996			psychiatry_case_studies
9780373244201	Another Man'S Children	Flynn, Christine	Silhouette	2001	813.0		romance_contemporary_general|romance_contemporary_general_aas|romance_series_silhouette_special_edition|romance_general|romance_general_aas
9780397013159	The last mystery of Edgar Allan Poe	Meyers, Manny	Lippincott	1978	813.54	PS3563	poe_edgar_allan_1809_1849_in_literature
9780071371780	E-strategy pure & simple	Robert, Michel|Racine, Bernard	McGraw-Hill	2000	658.84		electronic_commerce|electronic_commerce_management|strategic_planning
9780670864010	Becoming visible	McGarry, Molly|Wasserman, Fred	Penguin Studio	1998	306.76609730904	HQ75.16	homosexuality_united_states_history_20th_century|gays_united_states_history_20th_century
9780919433533	Uneasy patriots	Kilgour, David	Lone Pine	1988	971.203	F1060.92	regionalism_canada_western|federal_government_canada_western|canada_western_politics_and_government|canada_western_economic_conditions
9781886913042	Without a Guide	Govier, Katherine	Ruminator Books	1996	910.82		biographies_memoirs_specific_groups_women|reference_writing_travel|travel_specialty_travel_adventure_general|travel_general|science_earth_sciences_geography_general
9780062510488	Essential Tibetan Buddhism	Thurman, Robert A. F.	Harper San Francisco	1995	294.3923	BQ7604	buddhism_china_tibet|tibet_china_religion
9780965834506	Bloodwalk	Killough, Lee|Murphy, Kevin R.|Pagel, Stephen	Meisha Merlin Pub	1997			amazon_com_horror_authors_a_z_k_killough_lee|amazon_com_horror_general|amazon_com_horror_vampires|amazon_com_mystery_thrillers_thrillers_spy_stories_tales_of_|vampires_fiction|police_fiction
9780889088887	Professional selling	Vipperman, Carol	Self-Counsel Press	1991	658.85		selling|women_in_business
9780192100436	David Copperfield	Dickens, Charles	Oxford University Press	1999	823.8	PR4558	young_men_fiction|england_fiction|autobiographical_fiction|bildungsromans
9780300037791	J. M. W. Turner	Gage, John D.	Yale University Press	1987	760.0924	N6797	turner_j_m_w_joseph_mallord_william_1775_1851_themes_motives|turner_j_m_w_joseph_mallord_william_1775_1851_criticism_and_
9780553280609	Gentle Conqueror	Gronau, Mary Ellen	Bantam	1989	813.54		
9780245541506	Las ratas	Delibes, Miguel|Hickey, Leo	Harrap	1969	863.64		nonfiction_education|fiction_in_spanish_1945_texts
9780130338464	El t�nel	Sabato	Prentice Hall	1992	468.0		
9780689120831	Landscape of lies	Watson, Peter	Atheneum	1990	823.914	PR6073	
9780425059609	Dog training my way	Woodhouse, Barbara	Berkley Books	1982			dogs_training
9780394429823	Iberia, Spanish travels and reflections	Michener, James A.|Vavra, Robert	Random House	1968			michener_james_a_james_albert_1907_1997_travel_spain|spain_description_and_travel|spain_civilization
9780449206362	When Eight Bells Toll	MacLean, Alistair	Fawcett	1983			amazon_com_mystery_thrillers_authors_a_z_m_maclean_alistair
9780064472395	For real / by Christa Roberts	Christa Roberts	HarperCollins Publishers	2000		PZ7	amazon_com_teens_literature_fiction_general|amazon_com_childrens_books_people_places_girls_women_fiction|fathers_and_daughters_fiction|friendship_fiction|death_fiction|high_schools_fiction|schools_fiction
9780515111972	To Scotland And Love	Cartland, Barbara	Jove	1993	813.0		literature_fiction|romance
9780786220298	No Time for Love	Cartland, Barbara	Thorndike Press	1999	823.912		literature_fiction|romance_historical
9780451164537	True Crime Stories	Max Haines	New Amer Library (Mm)	1989			nonfiction_true_accounts_true_crime
9780671797355	The little plane	Tucker, Sian	Little Simon	1993			airplanes_fiction
9781576107119	MCSE Windows 2000 network	Carbeck, Hank|Derek Melber|Taylor, Rick J.|Taylor, Richard	Coriolis Group Books	2000	5.713769	QA76.3	amazon_com_computers_internet_certification_central_exams_mc|amazon_com_computers_internet_certification_central_pu_aaaa4|amazon_com_computers_internet_certification_central_subjects|amazon_com_computers_internet_networking_networks_prot_aaaa1|amazon_com_computers_internet_microsoft_operating_systems_wi|amazon_com_computers_internet_certification_central_general|amazon_com_computers_internet_networking_networks_protocols_|amazon_com_computers_internet_general|microsoft_windows_computer_file|electronic_data_processing_personnel_certification|computer_networks_examinations_study_guides
9780064472067	Stephen Fair	Wynne-Jones, Tim	HarperTrophy	2000		PZ7	family_problems_fiction|nightmares_fiction
9780891078067	A gentle calling	Crow, Donna Fletcher	Crossway Books	1994	813.54	PS3553	methodists_fiction|methodist_church_fiction|women_england_fiction|clergy_fiction|historical_fiction|christian_fiction
9780892836529	Study Guide for Charles Colson's Against the Night	Art Lindsley	Servant Publications	1989			history_world
9780006380924	The Kenneth Williams letters	Williams, Kenneth S.|Davies, Russell	HarperCollins	1995	792.028092	PN2598	williams_kenneth_1926_correspondence|actors_great_britain_correspondence
9780415006651	Selected poetry and prose	Pope, Alexander|Sowerby, Robin	Routledge	1988	821.5	PR3622	
9780340125540	Travelling in	Furlong, Monica	Hodder & Stoughton	1971	200.19	BV4832.2	meditations
9780553245257	Sabotage	Leibold, Jay	Bantam Books	1984			
9780373018307	Falcon on the mountain	Lavender, Gwyn	Harlequin Books	1974			
9780823048014	Simple Outdoor Style	Ljiljana Baird	Watson-Guptill Publications	1998			
9780533138623	One Night in a Strange Blue Light	Reynolds, Blair	Vantage Pr	2002			literature_fiction
9780449237823	CAVES OF STEEL	Asimov, Isaac	Fawcett	1981			
9780446673921	The little yoga book	Erika Dillman	Warner Books	1999	613.7046	BL1238.52	amazon_com_health_mind_body_exercise_fitness_general|amazon_com_health_mind_body_exercise_fitness_yoga|yoga
9780060953232	The language of choice theory	Glasser, William|Carleen Glasser	HarperPerennial	1999	158.2	BF637	amazon_com_health_mind_body_relationships_interpersonal_rela|amazon_com_health_mind_body_relationships_mate_seeking|amazon_com_health_mind_body_psychology_counseling_education_|amazon_com_health_mind_body_psychology_counseling_general|interpersonal_communication|interpersonal_relations
9780394534329	The middle heart	Lord, Bette	Alfred A. Knopf	1996	813.54	PS3562	friendship_china_fiction|china_history_20th_century_fiction|historical_fiction
9780965583770	Red sky in mourning	Tami Oldham Ashcraft|Susea McGearhart	Bright Works Pub	1998			ashcraft_tami_oldham_journeys|hazana_sailboat|oceania
9780863162091	Aaron and Gayla's counting book	Greenfield, Eloise|Gilchrist, Jan Spivey	Published for Black Butterfly Children's Books by Writers and Readers Pub	1994			counting_juvenile_literature
9780300002270	Sun Chief	Talayesva, Don C.|Simmons, Leo W.	Yale University Press	1963	979.135	E99	talayesva_don_c_b_1890|hopi_indians_biography|hopi_indians_social_life_and_customs
9780310225690	Raising great kids	Cloud, Henry|Townsend, John Rowe	Zondervan Pub. House	1999	248.845	BV4529	parenting_religious_aspects_christianity
9780805400069	Fit to Be Mom	Camp, Kim	Broadman & Holman Pub	1996	613.0		health_mind_body_exercise_fitness_pregnancy|parenting_families_family_relationships_motherhood|religion_spirituality_christianity_christian_living
9780385306775	Nobody's angel	Robards, Karen	Delacorte Press	1992	813.54	PS3568	indentured_servants_fiction|south_carolina_history_colonial_period_ca_1600_1775_fiction|love_stories
9780812517842	The fury	Farris, John	Simon & Schuster	1994			young_adult_fiction|horror_fiction
9780723002741	The Times concise atlas of world history	Barraclough, Geoffrey	Times Books	1985			historical_geography_maps|world_to_1980_atlases
9780553379303	The memory of fire	Foy, George	Bantam Books	2000	813.54	PS3556	women_musicians_fiction|science_fiction
9780670703715	The Thomas Street horror	Paul, Raymond	Viking Press	1982	813.54	PS3566	
9780139180538	Dave Sperling's Internet guide	Sperling, Dave	Prentice Hall	1998	428.00285		english_language_study_and_teaching_foreign_speakers_data_pr|internet
9780679772583	Time will darken it	Maxwell, William	Vintage International	1997		PS3525	family_illinois_fiction|family_southern_states_fiction|domestic_fiction
9780486400754	Italian Renaissance Costumes Paper Dolls (Paper Doll Series)	Tierney, Tom	Dover Publications	1998			amazon_com_childrens_books_arts_music_art_fashion|amazon_com_childrens_books_sports_activities_activity_books_|amazon_com_childrens_books_ages_4_8_general
9780141185088	Cannery Row	Steinbeck, John|Shillinglaw, Susan	Penguin	2000	813.52		
9780345337603	A gift of hope	Veninga, Robert L.	Ballantine Books	1986			loss_psychology|life_change_events|hope_psychological_aspects
9780380823130	Wildfires Book Four: The Story of Canada	Adair, Dennis|Rosenstock, Janet	Avon Books	1983	813.54		literature_fiction_genre_fiction_historical|romance_historical
9780399232480	Redwall Map & the Redwall Riddler	Jacques, Brian|Baker, Chris|Walker, Jonathan	G. P. Putnam's Sons	1998			amazon_com_childrens_books_animals_mice_hamsters_guinea_pigs|amazon_com_childrens_books_literature_science_fiction_fantas|amazon_com_childrens_books_series_fantasy_adventure_redwall|amazon_com_teens_science_fiction_fantasy_fantasy|amazon_com_teens_science_fiction_fantasy_science_fiction|amazon_com_childrens_books_authors_illustrators_a_z_j_jacque
9783426611692	Die Roten Wasser Von Bath	Joss, Morag	Droemersche Verlagsanstalt Th. Knaur Nachf. GmbH &	1999			literature_fiction|mystery_thrillers_mystery
9780881846409	On the run	Wills, Maury|Celizic, Mike	Carroll & Graf	1992		GV865	wills_maury_1932|los_angeles_dodgers_baseball_team|baseball_players_united_states_biography|narcotic_addicts_united_states_biography
9780262581301	Postmetaphysical thinking	Jrgen Habermas	MIT Press	1994		B3258	philosophy_modern_20th_century|civilization_modern_philosophy
9780140301199	Tales of the Greek heroes	Green, Roger Curtis|Middleton-Sandford, Betty	Puffin Books	1958	398.22		mythology_greek_juvenile_literature
9781863739313	The Quicksand Pony	Lester, Alison	Allen & Unwin	1997			childrens_books|literature_fiction
9780425046845	Time Enough For Love	Heinlein, Robert A.	Berkley	1980			
9780441372768	Ironbrand	Morressy, John	Berkley Publishing Group	1984			
9781850297062	Chateau Cuisine	Willan, Anne	Conran Octopus Ltd	1995			
9780688032364	So long until tomorrow	Thomas, Lowell	Morrow	1977	70.924	CT275	thomas_lowell_1892_1981|united_states_biography
9780907871323	Hermit of Peking	Trevor-Roper, Hugh Redwald	Eland	1993		DS734.9	amazon_com_history_asia_china_general|backhouse_e_edmund_sir_1873_1944|sinologists_great_britain_biography
9780836190809	Armageddon and the peaceable kingdom	Klaassen, Walter	Herald Press	1999	236.9		amazon_com_religion_spirituality_religious_studies_history|amazon_com_religion_spirituality_christianity_theology_escha|bible_prophecies_eschatology|eschatology_biblical_teaching|eschatology
9788489954014	Tapas and More Great Dishes from Spain	Janet Mendel|Wood, John Maxwell	Santana Books,Spain	1997	641.0		cooking_food_wine_regional_international
9780830716074	What the Bible Is All About	Mears, Henrietta C.	Gospel Light Pubns	1993			religion_spirituality_general
9780395081778	All my pretty ones	Sexton, A. Jeanette|Sexton, Anne	Houghton Mifflin	1962			
9780886777425	God's dice	S. Andrew Swann	Daw Books	1997			literature_fiction_contemporary|literature_fiction_general_aas|science_fiction_fantasy_fantasy_general|science_fiction_fantasy_fantasy_general_aas|science_fiction
9780898400922	The well family book	Kuntzleman, Charles T.	Here's Life Publishers	1985	613.0	RA777.7	family_health_and_hygiene|christian_life|holistic_medicine|health
9780811800655	Best restaurants of San Francisco	Patricia Unterman	Chronicle Books	1991	647.957946	TX907.3	restaurants_california_san_francisco_bay_area_guidebooks
9780316807098	Space station seventh grade	Spinelli, Jerry	Little, Brown and Co	1982		PZ7	
9780819869647	The splendor of truth	John Paul	St. Paul Books & Media	1993		BX860	catholic_church_doctrines|encyclicals_papal|church_work_with_families_catholic_church
9780553205985	Hiroshima	Hersey, John	Bantam Doubleday Dell	1981			
